month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
2,3,19,2,CRIMINAL DAMAGE,0,0,1622,2012
5,1,20,2,BATTERY,0,0,1824,2012
9,0,13,1,BATTERY,0,1,1024,2012
5,1,20,2,NARCOTICS,1,0,333,2012
9,0,0,2,BATTERY,0,1,512,2012
8,2,0,2,NARCOTICS,1,0,421,2012
7,2,13,1,THEFT,0,0,414,2012
10,0,10,0,THEFT,0,0,1712,2012
8,2,20,2,BATTERY,1,1,1031,2012
8,2,2,2,CRIMINAL DAMAGE,0,0,2023,2012
2,3,16,1,THEFT,0,0,1932,2012
8,2,13,1,NARCOTICS,1,0,1914,2012
3,1,19,2,NARCOTICS,1,0,1123,2012
11,0,10,0,NARCOTICS,1,0,931,2012
5,1,7,0,BATTERY,0,0,1132,2012
4,1,11,0,THEFT,1,0,1134,2012
9,0,1,2,BATTERY,0,1,821,2012
6,2,22,2,BATTERY,0,1,1021,2012
4,1,8,0,BATTERY,0,0,915,2012
7,2,14,1,CRIMINAL DAMAGE,0,0,633,2012
7,2,18,2,BATTERY,0,1,712,2012
10,0,14,1,THEFT,0,0,2413,2012
2,3,17,1,NARCOTICS,1,0,832,2012
2,3,10,0,NARCOTICS,1,0,2534,2012
2,3,19,2,THEFT,0,0,2031,2012
4,1,20,2,BATTERY,1,0,734,2012
8,2,11,0,BATTERY,1,1,631,2012
2,3,17,1,THEFT,0,0,1423,2012
4,1,19,2,NARCOTICS,1,0,832,2012
3,1,20,2,NARCOTICS,1,0,212,2012
11,0,11,0,BATTERY,0,0,1531,2012
2,3,15,1,THEFT,0,0,1911,2012
2,3,6,0,BATTERY,1,1,1111,2012
3,1,15,1,CRIMINAL DAMAGE,0,0,1914,2012
6,2,8,0,BATTERY,1,0,2533,2012
5,1,6,0,BATTERY,1,1,2535,2012
3,1,18,2,THEFT,0,0,414,2012
3,1,13,1,THEFT,0,1,832,2012
4,1,22,2,THEFT,0,0,123,2012
3,1,7,0,THEFT,1,0,712,2012
2,3,11,0,NARCOTICS,1,0,232,2012
5,1,16,1,BATTERY,1,0,1923,2012
11,0,7,0,NARCOTICS,1,0,1513,2012
3,1,9,0,THEFT,0,0,112,2012
6,2,23,2,NARCOTICS,1,0,423,2012
8,2,19,2,NARCOTICS,1,0,1022,2012
10,0,8,0,BATTERY,0,0,312,2012
12,3,20,2,THEFT,0,0,1833,2012
7,2,19,2,CRIMINAL DAMAGE,0,0,831,2012
1,3,15,1,BATTERY,0,0,1532,2012
5,1,13,1,THEFT,0,0,2211,2012
10,0,20,2,THEFT,0,0,1512,2012
11,0,22,2,BATTERY,1,1,421,2012
7,2,16,1,BATTERY,0,0,2532,2012
10,0,0,2,BATTERY,1,1,2534,2012
3,1,0,2,BATTERY,0,1,522,2012
7,2,13,1,CRIMINAL DAMAGE,0,1,511,2012
11,0,21,2,THEFT,0,0,622,2012
1,3,23,2,THEFT,0,0,1433,2012
6,2,19,2,THEFT,0,0,221,2012
3,1,23,2,NARCOTICS,1,0,1422,2012
8,2,4,2,BATTERY,1,0,1812,2012
10,0,10,0,THEFT,0,0,833,2012
9,0,7,0,THEFT,0,0,1914,2012
8,2,23,2,NARCOTICS,1,0,1011,2012
3,1,10,0,THEFT,0,0,1623,2012
3,1,17,1,THEFT,0,0,815,2012
7,2,19,2,CRIMINAL DAMAGE,0,0,2232,2012
7,2,17,1,BATTERY,0,0,2234,2012
11,0,23,2,NARCOTICS,1,0,622,2012
11,0,17,1,THEFT,0,0,1723,2012
9,0,21,2,BATTERY,1,1,1125,2012
9,0,23,2,NARCOTICS,1,0,1811,2012
6,2,2,2,BATTERY,0,0,434,2012
12,3,22,2,NARCOTICS,1,0,524,2012
2,3,18,2,THEFT,0,0,2313,2012
8,2,13,1,THEFT,0,0,1013,2012
5,1,20,2,BATTERY,0,0,333,2012
3,1,11,0,BATTERY,0,1,1222,2012
8,2,21,2,THEFT,0,0,726,2012
6,2,20,2,CRIMINAL DAMAGE,0,0,324,2012
5,1,3,2,NARCOTICS,1,0,2521,2012
1,3,18,2,THEFT,0,0,512,2012
10,0,8,0,THEFT,0,0,132,2012
1,3,20,2,NARCOTICS,1,0,522,2012
6,2,15,1,BATTERY,0,0,522,2012
2,3,14,1,BATTERY,0,0,1612,2012
1,3,10,0,THEFT,0,0,2122,2012
12,3,18,2,BATTERY,0,1,2232,2012
10,0,18,2,THEFT,0,0,522,2012
10,0,17,1,THEFT,0,0,914,2012
8,2,15,1,THEFT,0,1,924,2012
11,0,18,2,BATTERY,1,1,2533,2012
3,1,10,0,THEFT,0,0,825,2012
9,0,18,2,CRIMINAL DAMAGE,0,0,1112,2012
5,1,3,2,CRIMINAL DAMAGE,0,1,223,2012
3,1,17,1,BATTERY,1,1,1722,2012
10,0,18,2,CRIMINAL DAMAGE,0,0,332,2012
4,1,21,2,THEFT,0,0,1012,2012
6,2,9,0,CRIMINAL DAMAGE,0,1,2522,2012
5,1,19,2,BATTERY,0,0,1924,2012
1,3,21,2,BATTERY,0,0,112,2012
12,3,16,1,THEFT,0,0,1434,2012
3,1,17,1,BATTERY,0,1,934,2012
7,2,11,0,NARCOTICS,1,0,1522,2012
9,0,0,2,BATTERY,0,1,1133,2012
2,3,21,2,THEFT,0,0,2132,2012
9,0,9,0,THEFT,0,0,1912,2012
1,3,5,2,CRIMINAL DAMAGE,0,0,1433,2012
10,0,13,1,NARCOTICS,1,0,722,2012
4,1,22,2,NARCOTICS,1,0,1924,2012
12,3,22,2,BATTERY,0,0,1034,2012
8,2,4,2,CRIMINAL DAMAGE,1,0,2023,2012
8,2,3,2,BATTERY,0,1,711,2012
3,1,7,0,THEFT,0,0,323,2012
3,1,16,1,BATTERY,0,0,621,2012
11,0,19,2,CRIMINAL DAMAGE,0,0,1024,2012
12,3,14,1,CRIMINAL DAMAGE,0,0,1524,2012
10,0,12,1,THEFT,0,0,432,2012
3,1,2,2,BATTERY,0,0,923,2012
4,1,4,2,BATTERY,0,1,1033,2012
9,0,20,2,BATTERY,0,1,331,2012
2,3,1,2,THEFT,0,0,1833,2012
7,2,10,0,CRIMINAL DAMAGE,0,0,1323,2012
6,2,0,2,CRIMINAL DAMAGE,1,0,2512,2012
10,0,4,2,BATTERY,0,0,1831,2012
6,2,1,2,BATTERY,0,0,1924,2012
11,0,1,2,BATTERY,0,0,1925,2012
6,2,20,2,CRIMINAL DAMAGE,0,0,1723,2012
11,0,11,0,BATTERY,1,1,726,2012
3,1,7,0,NARCOTICS,1,0,333,2012
3,1,16,1,THEFT,0,0,412,2012
6,2,17,1,CRIMINAL DAMAGE,0,0,714,2012
7,2,6,0,THEFT,0,0,124,2012
3,1,16,1,THEFT,0,0,913,2012
10,0,20,2,NARCOTICS,1,0,1115,2012
9,0,0,2,THEFT,0,0,1724,2012
5,1,13,1,BATTERY,0,0,731,2012
10,0,11,0,THEFT,1,0,2533,2012
2,3,12,1,THEFT,0,0,1333,2012
6,2,0,2,THEFT,0,0,523,2012
1,3,0,2,NARCOTICS,1,0,2534,2012
3,1,9,0,CRIMINAL DAMAGE,0,0,1123,2012
9,0,15,1,THEFT,0,1,612,2012
10,0,17,1,BATTERY,0,1,1523,2012
9,0,17,1,THEFT,0,0,1652,2012
12,3,20,2,BATTERY,0,1,1033,2012
7,2,19,2,THEFT,0,0,1934,2012
2,3,18,2,BATTERY,1,0,735,2012
9,0,13,1,NARCOTICS,1,0,1533,2012
7,2,7,0,CRIMINAL DAMAGE,0,0,931,2012
8,2,7,0,THEFT,0,0,912,2012
7,2,16,1,THEFT,0,0,934,2012
7,2,17,1,NARCOTICS,1,0,1911,2012
11,0,10,0,THEFT,0,0,2512,2012
3,1,10,0,THEFT,0,0,424,2012
7,2,15,1,THEFT,0,0,513,2012
9,0,4,2,CRIMINAL DAMAGE,0,0,621,2012
4,1,23,2,BATTERY,0,0,1831,2012
12,3,11,0,THEFT,0,0,1811,2012
8,2,14,1,BATTERY,0,1,932,2012
7,2,0,2,CRIMINAL DAMAGE,0,0,922,2012
5,1,20,2,BATTERY,0,0,215,2012
8,2,20,2,NARCOTICS,1,0,1112,2012
3,1,8,0,THEFT,0,0,2522,2012
10,0,13,1,THEFT,0,1,1112,2012
12,3,9,0,THEFT,0,0,1711,2012
9,0,22,2,BATTERY,0,1,2522,2012
3,1,20,2,THEFT,0,0,1931,2012
10,0,20,2,THEFT,0,0,111,2012
3,1,10,0,NARCOTICS,1,0,1125,2012
12,3,13,1,NARCOTICS,1,0,1914,2012
3,1,14,1,THEFT,0,0,1633,2012
9,0,0,2,BATTERY,1,0,915,2012
4,1,21,2,CRIMINAL DAMAGE,1,1,634,2012
2,3,12,1,NARCOTICS,1,0,2521,2012
2,3,8,0,CRIMINAL DAMAGE,0,0,2312,2012
3,1,7,0,BATTERY,0,1,423,2012
4,1,12,1,THEFT,0,0,423,2012
9,0,21,2,THEFT,0,0,122,2012
7,2,17,1,THEFT,0,0,1834,2012
12,3,11,0,THEFT,0,0,1024,2012
11,0,20,2,NARCOTICS,1,0,2024,2012
10,0,20,2,CRIMINAL DAMAGE,0,0,2033,2012
10,0,20,2,THEFT,0,0,2221,2012
7,2,0,2,NARCOTICS,1,0,223,2012
11,0,13,1,CRIMINAL DAMAGE,0,0,2511,2012
5,1,16,1,THEFT,0,0,1921,2012
1,3,11,0,BATTERY,0,1,824,2012
7,2,2,2,BATTERY,0,1,725,2012
4,1,11,0,BATTERY,0,1,1114,2012
2,3,18,2,THEFT,0,0,2011,2012
1,3,15,1,THEFT,0,0,1622,2012
11,0,13,1,CRIMINAL DAMAGE,0,1,1014,2012
3,1,4,2,BATTERY,1,0,1713,2012
3,1,16,1,THEFT,0,0,234,2012
4,1,16,1,BATTERY,1,1,512,2012
3,1,0,2,CRIMINAL DAMAGE,0,0,2233,2012
8,2,4,2,BATTERY,0,0,922,2012
9,0,15,1,THEFT,1,0,1833,2012
7,2,1,2,BATTERY,0,1,523,2012
2,3,21,2,THEFT,0,0,2412,2012
12,3,2,2,CRIMINAL DAMAGE,0,0,2532,2012
9,0,7,0,THEFT,0,0,531,2012
11,0,13,1,THEFT,0,0,2511,2012
5,1,12,1,THEFT,1,0,1013,2012
7,2,9,0,THEFT,0,0,733,2012
9,0,20,2,BATTERY,1,1,1313,2012
5,1,11,0,BATTERY,0,0,1123,2012
3,1,21,2,NARCOTICS,1,0,2422,2012
11,0,14,1,THEFT,1,0,1622,2012
8,2,19,2,THEFT,0,0,614,2012
9,0,18,2,BATTERY,0,1,1611,2012
5,1,10,0,CRIMINAL DAMAGE,0,0,213,2012
5,1,1,2,CRIMINAL DAMAGE,1,0,131,2012
10,0,16,1,BATTERY,0,1,713,2012
2,3,12,1,THEFT,0,0,731,2012
8,2,16,1,THEFT,0,0,234,2012
4,1,17,1,BATTERY,0,1,1312,2012
7,2,23,2,BATTERY,0,0,713,2012
4,1,5,2,THEFT,0,0,2412,2012
5,1,21,2,BATTERY,0,1,1532,2012
6,2,2,2,CRIMINAL DAMAGE,1,0,1933,2012
11,0,13,1,NARCOTICS,1,0,634,2012
12,3,18,2,CRIMINAL DAMAGE,0,1,414,2012
12,3,17,1,BATTERY,0,0,623,2012
12,3,0,2,CRIMINAL DAMAGE,0,0,811,2012
7,2,13,1,BATTERY,0,1,323,2012
2,3,3,2,BATTERY,0,0,1924,2012
11,0,12,1,THEFT,0,0,1931,2012
8,2,19,2,BATTERY,0,0,424,2012
5,1,12,1,THEFT,0,0,1332,2012
6,2,22,2,CRIMINAL DAMAGE,0,0,1733,2012
8,2,14,1,BATTERY,0,0,1013,2012
2,3,16,1,NARCOTICS,1,0,523,2012
1,3,8,0,NARCOTICS,1,0,1034,2012
10,0,21,2,THEFT,0,0,1014,2012
3,1,23,2,NARCOTICS,1,0,1923,2012
2,3,19,2,NARCOTICS,1,0,623,2012
2,3,20,2,CRIMINAL DAMAGE,1,0,2221,2012
3,1,0,2,THEFT,0,0,1533,2012
7,2,7,0,CRIMINAL DAMAGE,0,0,722,2012
11,0,17,1,THEFT,0,0,234,2012
2,3,2,2,NARCOTICS,1,0,2514,2012
10,0,17,1,THEFT,0,1,232,2012
4,1,16,1,THEFT,0,0,111,2012
2,3,13,1,THEFT,0,0,1811,2012
4,1,18,2,NARCOTICS,1,0,422,2012
4,1,11,0,THEFT,0,0,714,2012
10,0,13,1,CRIMINAL DAMAGE,0,0,1614,2012
3,1,15,1,NARCOTICS,1,0,2521,2012
6,2,8,0,CRIMINAL DAMAGE,0,0,2413,2012
5,1,17,1,THEFT,0,0,622,2012
8,2,5,2,BATTERY,0,0,1021,2012
12,3,5,2,THEFT,0,1,234,2012
2,3,0,2,THEFT,0,0,1413,2012
4,1,0,2,BATTERY,0,0,1115,2012
7,2,14,1,THEFT,0,0,2513,2012
3,1,20,2,NARCOTICS,1,0,324,2012
9,0,7,0,THEFT,0,0,1213,2012
7,2,17,1,BATTERY,0,0,933,2012
3,1,1,2,BATTERY,0,0,2512,2012
1,3,12,1,NARCOTICS,1,0,1832,2012
3,1,11,0,THEFT,0,0,823,2012
6,2,13,1,THEFT,1,0,823,2012
6,2,13,1,THEFT,1,0,1023,2012
6,2,13,1,NARCOTICS,1,0,235,2012
10,0,14,1,THEFT,1,0,1834,2012
7,2,22,2,CRIMINAL DAMAGE,0,0,922,2012
6,2,4,2,THEFT,0,0,231,2012
5,1,14,1,BATTERY,0,0,334,2012
3,1,16,1,THEFT,0,0,1112,2012
11,0,9,0,NARCOTICS,1,0,322,2012
4,1,16,1,THEFT,0,0,1611,2012
9,0,15,1,CRIMINAL DAMAGE,0,0,524,2012
12,3,7,0,BATTERY,0,0,523,2012
11,0,9,0,THEFT,0,0,2221,2012
4,1,12,1,NARCOTICS,1,0,1014,2012
12,3,16,1,CRIMINAL DAMAGE,0,0,1713,2012
2,3,1,2,THEFT,0,1,421,2012
7,2,14,1,CRIMINAL DAMAGE,0,0,612,2012
1,3,14,1,NARCOTICS,1,0,2222,2012
8,2,12,1,BATTERY,1,1,513,2012
5,1,7,0,THEFT,0,0,1212,2012
6,2,1,2,BATTERY,0,0,332,2012
8,2,15,1,NARCOTICS,1,0,1012,2012
10,0,3,2,CRIMINAL DAMAGE,1,0,1012,2012
12,3,10,0,CRIMINAL DAMAGE,0,0,1532,2012
9,0,22,2,BATTERY,0,1,934,2012
3,1,19,2,NARCOTICS,1,0,1031,2012
6,2,14,1,BATTERY,0,1,1223,2012
5,1,18,2,BATTERY,1,0,1413,2012
4,1,21,2,NARCOTICS,1,0,1111,2012
7,2,18,2,CRIMINAL DAMAGE,0,0,1812,2012
12,3,16,1,CRIMINAL DAMAGE,0,0,423,2012
3,1,16,1,BATTERY,0,0,815,2012
12,3,11,0,NARCOTICS,1,0,333,2012
6,2,22,2,BATTERY,0,1,1112,2012
9,0,14,1,BATTERY,0,1,823,2012
2,3,15,1,THEFT,0,0,2012,2012
5,1,3,2,BATTERY,0,1,612,2012
11,0,22,2,BATTERY,0,1,1011,2012
4,1,23,2,CRIMINAL DAMAGE,0,0,1613,2012
3,1,0,2,BATTERY,0,1,522,2012
9,0,23,2,THEFT,0,0,624,2012
3,1,14,1,NARCOTICS,1,0,2223,2012
2,3,10,0,THEFT,1,0,2533,2012
3,1,13,1,CRIMINAL DAMAGE,0,0,835,2012
9,0,11,0,NARCOTICS,1,0,434,2012
5,1,11,0,NARCOTICS,1,0,1531,2012
7,2,12,1,NARCOTICS,0,0,1113,2012
1,3,11,0,THEFT,0,0,432,2012
8,2,20,2,CRIMINAL DAMAGE,0,0,1434,2012
11,0,16,1,THEFT,0,0,235,2012
5,1,19,2,NARCOTICS,1,0,1923,2012
6,2,21,2,NARCOTICS,1,0,421,2012
5,1,16,1,NARCOTICS,1,0,711,2012
8,2,23,2,THEFT,0,0,2534,2012
8,2,12,1,THEFT,1,0,1821,2012
6,2,10,0,NARCOTICS,1,0,1133,2012
7,2,13,1,CRIMINAL DAMAGE,0,0,824,2012
9,0,21,2,THEFT,0,0,113,2012
8,2,9,0,THEFT,0,0,1813,2012
12,3,20,2,NARCOTICS,1,0,133,2012
7,2,0,2,BATTERY,0,1,413,2012
2,3,21,2,NARCOTICS,1,0,2232,2012
12,3,0,2,THEFT,0,0,1012,2012
12,3,12,1,BATTERY,0,0,2524,2012
3,1,9,0,CRIMINAL DAMAGE,0,0,632,2012
9,0,6,0,THEFT,0,0,123,2012
1,3,10,0,THEFT,0,0,1634,2012
5,1,18,2,BATTERY,0,0,1311,2012
11,0,21,2,THEFT,0,0,2023,2012
3,1,16,1,THEFT,0,0,1713,2012
10,0,2,2,BATTERY,1,0,1712,2012
4,1,17,1,THEFT,0,0,1833,2012
8,2,14,1,BATTERY,0,0,1834,2012
11,0,18,2,THEFT,0,0,1111,2012
5,1,16,1,THEFT,0,1,2413,2012
11,0,9,0,THEFT,0,0,1115,2012
1,3,16,1,BATTERY,1,1,622,2012
10,0,22,2,NARCOTICS,1,0,1132,2012
4,1,19,2,BATTERY,0,0,823,2012
9,0,0,2,THEFT,0,0,1733,2012
5,1,1,2,CRIMINAL DAMAGE,0,0,524,2012
11,0,19,2,THEFT,0,0,131,2012
4,1,9,0,THEFT,0,0,1431,2012
3,1,17,1,THEFT,0,0,1623,2012
6,2,23,2,THEFT,0,0,2512,2012
9,0,12,1,THEFT,0,0,223,2012
6,2,13,1,THEFT,0,0,1924,2012
2,3,0,2,THEFT,1,0,1624,2012
10,0,9,0,THEFT,0,0,1814,2012
2,3,21,2,THEFT,0,1,634,2012
12,3,3,2,THEFT,0,0,1112,2012
9,0,11,0,THEFT,0,0,122,2012
5,1,18,2,BATTERY,0,1,1522,2012
6,2,20,2,THEFT,0,0,1833,2012
11,0,18,2,THEFT,1,0,1332,2012
7,2,0,2,THEFT,0,0,1832,2012
6,2,13,1,THEFT,0,0,1633,2012
7,2,9,0,NARCOTICS,1,0,1114,2012
9,0,20,2,NARCOTICS,1,0,713,2012
3,1,19,2,THEFT,0,0,413,2012
6,2,10,0,CRIMINAL DAMAGE,0,0,511,2012
4,1,2,2,THEFT,0,0,1423,2012
7,2,13,1,THEFT,0,0,1633,2012
7,2,21,2,BATTERY,0,0,1022,2012
2,3,14,1,NARCOTICS,1,0,1331,2012
5,1,15,1,BATTERY,0,0,1024,2012
10,0,20,2,NARCOTICS,1,0,424,2012
5,1,0,2,CRIMINAL DAMAGE,0,0,2413,2012
9,0,19,2,THEFT,0,0,932,2012
11,0,14,1,BATTERY,1,0,432,2012
11,0,21,2,THEFT,0,0,1323,2012
6,2,11,0,THEFT,1,0,124,2012
10,0,15,1,CRIMINAL DAMAGE,0,0,123,2012
1,3,20,2,BATTERY,0,1,2411,2012
11,0,1,2,THEFT,0,0,1614,2012
4,1,22,2,CRIMINAL DAMAGE,0,0,2013,2012
7,2,3,2,THEFT,0,0,511,2012
10,0,7,0,BATTERY,0,0,621,2012
8,2,20,2,BATTERY,0,1,1024,2012
5,1,9,0,THEFT,0,0,331,2012
10,0,22,2,CRIMINAL DAMAGE,0,0,1034,2012
10,0,22,2,THEFT,0,0,1821,2012
3,1,19,2,BATTERY,0,0,334,2012
3,1,21,2,THEFT,0,0,1911,2012
7,2,14,1,BATTERY,0,0,1115,2012
1,3,10,0,THEFT,0,0,1811,2012
11,0,23,2,NARCOTICS,1,0,924,2012
9,0,13,1,THEFT,0,0,122,2012
1,3,12,1,BATTERY,1,0,2521,2012
11,0,0,2,THEFT,0,0,1111,2012
5,1,13,1,THEFT,0,0,1021,2012
5,1,16,1,THEFT,0,1,1024,2012
11,0,17,1,BATTERY,0,1,823,2012
11,0,17,1,BATTERY,0,0,212,2012
9,0,3,2,BATTERY,0,1,1423,2012
5,1,9,0,THEFT,0,0,1024,2012
5,1,20,2,NARCOTICS,1,0,1131,2012
9,0,12,1,BATTERY,0,1,2525,2012
9,0,3,2,THEFT,0,0,324,2012
7,2,18,2,THEFT,0,0,1431,2012
9,0,7,0,CRIMINAL DAMAGE,0,0,124,2012
5,1,15,1,BATTERY,0,0,232,2012
5,1,21,2,BATTERY,1,0,1834,2012
12,3,22,2,THEFT,0,0,1633,2012
7,2,15,1,THEFT,0,0,1612,2012
2,3,18,2,NARCOTICS,1,0,1124,2012
9,0,9,0,BATTERY,0,0,823,2012
10,0,15,1,BATTERY,0,1,1722,2012
11,0,17,1,THEFT,1,0,1524,2012
7,2,21,2,NARCOTICS,1,0,1121,2012
2,3,12,1,THEFT,0,0,1324,2012
2,3,15,1,THEFT,0,0,2013,2012
4,1,16,1,THEFT,1,0,2533,2012
6,2,15,1,CRIMINAL DAMAGE,0,0,421,2012
1,3,21,2,THEFT,0,0,331,2012
9,0,13,1,NARCOTICS,1,0,1821,2012
5,1,23,2,CRIMINAL DAMAGE,1,0,2031,2012
12,3,17,1,BATTERY,0,0,2424,2012
8,2,21,2,THEFT,0,0,2524,2012
11,0,14,1,BATTERY,0,1,1723,2012
3,1,4,2,THEFT,0,0,533,2012
2,3,12,1,THEFT,0,0,434,2012
5,1,7,0,THEFT,0,0,732,2012
12,3,16,1,THEFT,0,0,414,2012
3,1,16,1,NARCOTICS,1,0,1533,2012
1,3,1,2,THEFT,0,0,1134,2012
3,1,8,0,CRIMINAL DAMAGE,0,0,1812,2012
1,3,14,1,NARCOTICS,1,0,2531,2012
12,3,23,2,BATTERY,0,0,1824,2012
12,3,2,2,NARCOTICS,1,0,2521,2012
5,1,1,2,CRIMINAL DAMAGE,1,1,412,2012
11,0,2,2,THEFT,0,0,1434,2012
1,3,20,2,BATTERY,0,1,712,2012
10,0,16,1,NARCOTICS,1,0,431,2012
3,1,19,2,BATTERY,1,0,1522,2012
5,1,3,2,CRIMINAL DAMAGE,0,1,2522,2012
8,2,14,1,THEFT,0,0,432,2012
8,2,14,1,NARCOTICS,1,0,1531,2012
4,1,14,1,THEFT,0,0,2033,2012
12,3,12,1,BATTERY,0,1,1522,2012
6,2,17,1,THEFT,1,0,333,2012
7,2,22,2,BATTERY,0,0,1133,2012
9,0,23,2,THEFT,0,0,623,2012
11,0,14,1,NARCOTICS,1,0,1011,2012
11,0,0,2,CRIMINAL DAMAGE,1,0,815,2012
11,0,20,2,NARCOTICS,1,0,2221,2012
6,2,12,1,THEFT,0,0,914,2012
12,3,18,2,BATTERY,0,1,1123,2012
11,0,17,1,THEFT,0,0,1513,2012
12,3,8,0,THEFT,0,0,613,2012
5,1,10,0,THEFT,0,0,1033,2012
11,0,0,2,THEFT,0,0,414,2012
3,1,11,0,NARCOTICS,1,0,1612,2012
8,2,8,0,THEFT,0,0,922,2012
8,2,3,2,BATTERY,1,0,1831,2012
5,1,13,1,THEFT,0,0,1224,2012
8,2,18,2,CRIMINAL DAMAGE,0,0,1933,2012
12,3,4,2,THEFT,0,0,1214,2012
3,1,17,1,THEFT,0,0,1624,2012
8,2,22,2,NARCOTICS,1,0,2533,2012
4,1,19,2,BATTERY,0,0,423,2012
11,0,12,1,THEFT,0,0,1522,2012
12,3,6,0,THEFT,0,0,1922,2012
9,0,13,1,THEFT,0,0,511,2012
3,1,17,1,BATTERY,0,1,1634,2012
12,3,14,1,BATTERY,0,0,334,2012
1,3,19,2,CRIMINAL DAMAGE,0,0,1434,2012
6,2,18,2,THEFT,0,0,724,2012
7,2,18,2,CRIMINAL DAMAGE,0,0,314,2012
3,1,10,0,THEFT,0,0,2212,2012
5,1,20,2,BATTERY,0,0,1523,2012
8,2,7,0,CRIMINAL DAMAGE,0,1,311,2012
8,2,20,2,NARCOTICS,1,0,725,2012
4,1,3,2,BATTERY,0,0,933,2012
3,1,7,0,CRIMINAL DAMAGE,0,0,212,2012
3,1,11,0,BATTERY,0,1,1112,2012
7,2,3,2,BATTERY,1,1,915,2012
6,2,7,0,THEFT,0,0,1013,2012
11,0,6,0,THEFT,0,0,621,2012
3,1,20,2,BATTERY,0,0,931,2012
5,1,9,0,THEFT,0,0,1921,2012
7,2,22,2,THEFT,0,0,513,2012
7,2,17,1,NARCOTICS,1,0,1133,2012
10,0,2,2,CRIMINAL DAMAGE,0,0,614,2012
10,0,4,2,BATTERY,0,1,1623,2012
8,2,0,2,CRIMINAL DAMAGE,1,0,624,2012
7,2,18,2,THEFT,0,0,2432,2012
9,0,11,0,NARCOTICS,1,0,2535,2012
8,2,0,2,BATTERY,1,0,231,2012
7,2,11,0,NARCOTICS,1,0,1533,2012
1,3,16,1,NARCOTICS,1,0,1131,2012
3,1,10,0,BATTERY,0,1,624,2012
4,1,16,1,CRIMINAL DAMAGE,0,0,823,2012
8,2,15,1,NARCOTICS,1,0,814,2012
11,0,23,2,NARCOTICS,1,0,1223,2012
9,0,5,2,CRIMINAL DAMAGE,0,0,2534,2012
2,3,1,2,THEFT,0,0,2234,2012
3,1,7,0,BATTERY,0,0,1022,2012
11,0,12,1,THEFT,1,0,1921,2012
6,2,3,2,CRIMINAL DAMAGE,0,0,2031,2012
1,3,12,1,CRIMINAL DAMAGE,0,0,1233,2012
9,0,21,2,CRIMINAL DAMAGE,0,1,2534,2012
12,3,17,1,THEFT,0,0,1323,2012
1,3,13,1,THEFT,0,0,1223,2012
8,2,19,2,THEFT,0,0,322,2012
11,0,3,2,NARCOTICS,1,0,2535,2012
5,1,22,2,BATTERY,0,0,2515,2012
8,2,15,1,THEFT,0,0,1832,2012
11,0,11,0,CRIMINAL DAMAGE,0,0,725,2012
12,3,22,2,THEFT,0,1,711,2012
2,3,11,0,THEFT,0,0,1651,2012
2,3,18,2,BATTERY,0,1,322,2012
1,3,9,0,THEFT,0,0,2333,2012
10,0,19,2,BATTERY,0,1,1111,2012
10,0,2,2,THEFT,0,0,724,2012
4,1,22,2,BATTERY,0,1,511,2012
5,1,15,1,CRIMINAL DAMAGE,0,0,231,2012
6,2,11,0,THEFT,0,0,111,2012
5,1,0,2,BATTERY,0,1,1331,2012
8,2,7,0,CRIMINAL DAMAGE,0,0,1424,2012
8,2,18,2,CRIMINAL DAMAGE,0,0,2013,2012
1,3,19,2,BATTERY,1,1,2422,2012
9,0,10,0,BATTERY,0,1,2533,2012
9,0,17,1,THEFT,0,0,925,2012
8,2,1,2,BATTERY,0,0,611,2012
5,1,9,0,THEFT,1,0,622,2012
1,3,11,0,THEFT,0,0,1932,2012
6,2,12,1,CRIMINAL DAMAGE,0,0,924,2012
9,0,16,1,THEFT,0,0,821,2012
6,2,17,1,THEFT,0,0,621,2012
6,2,18,2,CRIMINAL DAMAGE,0,0,323,2012
5,1,9,0,BATTERY,0,0,621,2012
6,2,20,2,NARCOTICS,1,0,2534,2012
8,2,22,2,BATTERY,0,1,1133,2012
3,1,18,2,NARCOTICS,1,0,511,2012
5,1,22,2,CRIMINAL DAMAGE,0,0,1723,2012
8,2,13,1,NARCOTICS,1,0,823,2012
12,3,19,2,NARCOTICS,1,0,1523,2012
6,2,14,1,BATTERY,0,0,914,2012
10,0,17,1,THEFT,0,0,1211,2012
11,0,11,0,NARCOTICS,1,0,1522,2012
12,3,18,2,THEFT,0,0,1934,2012
8,2,13,1,THEFT,0,0,914,2012
7,2,18,2,BATTERY,0,1,423,2012
12,3,11,0,BATTERY,0,1,324,2012
3,1,1,2,CRIMINAL DAMAGE,0,0,932,2012
2,3,14,1,NARCOTICS,1,0,723,2012
9,0,1,2,THEFT,0,1,1424,2012
11,0,9,0,NARCOTICS,1,0,724,2012
5,1,13,1,THEFT,0,0,623,2012
1,3,16,1,BATTERY,0,0,1511,2012
4,1,4,2,BATTERY,0,1,313,2012
7,2,12,1,CRIMINAL DAMAGE,0,0,1322,2012
12,3,13,1,NARCOTICS,1,0,214,2012
8,2,18,2,CRIMINAL DAMAGE,0,0,631,2012
8,2,14,1,THEFT,0,0,331,2012
7,2,1,2,CRIMINAL DAMAGE,0,0,912,2012
1,3,17,1,BATTERY,0,0,414,2012
